id,google_timestamp,zoom_timestamp,prog_exp,prog_exp_r,prog_ease_max_list,data_format,current_use_llm,work_organisation,barrier_time_availability,barrier_supervisor_interests,barrier_internet_connection,barrier_electricity,barrier_computer,interest_share_dataset
c1k7c9,2023-10-13T15:42:43Z,2023-10-13T15:43:53Z,I have written a few lines now and again.,I have written a few lines now and again.,I could do it quickly with external help.,"In machine readible files (e.g. CSV, JSON)",I have not used any LLMs for completing tasks.,Academia,Not a barrier,Not a barrier,Not a barrier,A barrier,Not a barrier,No
f4e6f6,2023-10-26T16:09:06Z,2023-10-26T16:10:12Z,I have written a few lines now and again.,I have written a few lines now and again.,I could struggle through by trial and error with a lot of web searches.,In a spreadsheet-based format (e.g MS Excel xlsx or Google Sheets),I use LLMs occasionally for specific tasks when needed (e.g once a week).,Academia,A barrier,I don't know,Not a barrier,Not a barrier,Not a barrier,Maybe
l5n4l8,2023-10-25T18:10:36Z,2023-10-25T18:11:45Z,I have written a few lines now and again.,I have written a few lines now and again.,I could struggle through by trial and error with a lot of web searches.,"In machine readible files (e.g. CSV, JSON)",I have not used any LLMs for completing tasks.,Private sector,Not a barrier,Not a barrier,Not a barrier,Not a barrier,Not a barrier,Maybe
e6v7e3,2023-10-16T09:56:29Z,2023-10-16T10:04:19Z,I have none.,I have written a few lines now and again.,I could struggle through by trial and error with a lot of web searches.,In a spreadsheet-based format (e.g MS Excel xlsx or Google Sheets),I use LLMs occasionally for specific tasks when needed (e.g once a week).,Academia,Not a barrier,Not a barrier,Not a barrier,Not a barrier,Not a barrier,Yes
h0r3h4,2023-10-13T16:04:15Z,NA,I have written a few lines now and again.,I have written a few lines now and again.,I could struggle through by trial and error with a lot of web searches.,In a spreadsheet-based format (e.g MS Excel xlsx or Google Sheets),I use LLMs occasionally for specific tasks when needed (e.g once a week).,Academia,Not a barrier,I don't know,Not a barrier,Not a barrier,Not a barrier,Maybe
r0z2r4,2023-10-05T12:32:32Z,2023-10-05T12:34:18Z,I have none.,I have written a few lines now and again.,I could do it quickly with external help.,"In machine readible files (e.g. CSV, JSON)",I have not used any LLMs for completing tasks.,Academia,Not a barrier,Not a barrier,Not a barrier,Not a barrier,Not a barrier,Maybe
a7m5a4,2023-10-11T13:41:29Z,2023-10-11T13:43:47Z,I have written a few lines now and again.,I have none.,I wouldn’t know where to start.,In a spreadsheet-based format (e.g MS Excel xlsx or Google Sheets),I rely on LLMs for completing a wide range of tasks (e.g. several times a day).,Independent consultant,Not a barrier,Not a barrier,Not a barrier,Not a barrier,Not a barrier,No
s6n1s4,2023-10-12T22:54:29Z,2023-10-12T22:55:14Z,I have written programs for my own use that are a couple of pages long.,I have written a few lines now and again.,I could do it quickly with external help.,"In machine readible files (e.g. CSV, JSON)",I have not used any LLMs for completing tasks.,Private sector,Not a barrier,Not a barrier,Not a barrier,Not a barrier,Not a barrier,No
t8g8t4,2023-10-16T21:30:18Z,2023-10-16T21:32:18Z,I have none.,I have none.,I wouldn’t know where to start.,In a spreadsheet-based format (e.g MS Excel xlsx or Google Sheets),I have not used any LLMs for completing tasks.,NGO (non-governmental organisation),Not a barrier,I don't know,Not a barrier,Not a barrier,Not a barrier,Yes
x0h7x8,2023-10-20T00:18:46Z,2023-10-20T00:19:36Z,I have none.,I have none.,I wouldn’t know where to start.,In a spreadsheet-based format (e.g MS Excel xlsx or Google Sheets),I have not used any LLMs for completing tasks.,Academia,Not a barrier,Not a barrier,A barrier,A barrier,Not a barrier,No
f8c1f2,2023-10-02T18:07:27Z,2023-10-02T18:08:05Z,I have none.,I have none.,I wouldn’t know where to start.,I don't know,I have not used any LLMs for completing tasks.,Academia,Not a barrier,Not a barrier,I don't know,Not a barrier,Not a barrier,Maybe
u6i7u5,2023-10-27T16:54:56Z,2023-10-27T16:56:28Z,I have written a few lines now and again.,I have none.,I could do it quickly with external help.,In physical notebooks on paper,I have not used any LLMs for completing tasks.,Academia,A barrier,Not a barrier,Not a barrier,Not a barrier,Not a barrier,No
b6j8b7,2023-10-17T06:57:43Z,2023-10-17T06:58:17Z,I have written programs for my own use that are a couple of pages long.,I have written programs for my own use that are a couple of pages long.,I could do it quickly with external help.,In a spreadsheet-based format (e.g MS Excel xlsx or Google Sheets),I regularly use LLMs for various tasks to improve efficiency (e.g. once a day).,NGO (non-governmental organisation),Not a barrier,Not a barrier,Not a barrier,Not a barrier,Not a barrier,Maybe
p3d4p0,2023-10-08T08:26:49Z,2023-10-08T08:27:43Z,I have written a few lines now and again.,I have written a few lines now and again.,I could do it quickly with external help.,In a spreadsheet-based format (e.g MS Excel xlsx or Google Sheets),I use LLMs occasionally for specific tasks when needed (e.g once a week).,NGO (non-governmental organisation),Not a barrier,Not a barrier,Not a barrier,Not a barrier,Not a barrier,No
f8c1f2,2023-10-18T09:56:45Z,2023-10-18T09:57:54Z,I have written a few lines now and again.,I have written a few lines now and again.,I could struggle through by trial and error with a lot of web searches.,In a spreadsheet-based format (e.g MS Excel xlsx or Google Sheets),I use LLMs occasionally for specific tasks when needed (e.g once a week).,NGO (non-governmental organisation),Not a barrier,Not a barrier,Not a barrier,Not a barrier,Not a barrier,Maybe
o8z5o1,2023-10-11T13:07:46Z,2023-10-11T13:08:36Z,I have none.,I have none.,I could do it quickly with external help.,In a spreadsheet-based format (e.g MS Excel xlsx or Google Sheets),I use LLMs occasionally for specific tasks when needed (e.g once a week).,NGO (non-governmental organisation),Not a barrier,Not a barrier,Not a barrier,Not a barrier,Not a barrier,No
y7c3y6,2023-10-05T05:43:23Z,2023-10-05T05:43:49Z,I have written a few lines now and again.,I have written a few lines now and again.,I could struggle through by trial and error with a lot of web searches.,In a spreadsheet-based format (e.g MS Excel xlsx or Google Sheets),I use LLMs occasionally for specific tasks when needed (e.g once a week).,Academia,A barrier,Not a barrier,Not a barrier,Not a barrier,Not a barrier,Yes
s2f2s4,2023-10-09T16:58:03Z,2023-10-24T16:29:15Z,I have written a few lines now and again.,I have written a few lines now and again.,I could struggle through by trial and error with a lot of web searches.,In physical notebooks on paper,I have not used any LLMs for completing tasks.,Government,Not a barrier,Not a barrier,Not a barrier,Not a barrier,Not a barrier,Maybe
f8c1f2,2023-10-06T09:17:09Z,2023-10-06T09:18:56Z,I have written programs for my own use that are a couple of pages long.,I have none.,I wouldn’t know where to start.,In a spreadsheet-based format (e.g MS Excel xlsx or Google Sheets),I use LLMs occasionally for specific tasks when needed (e.g once a week).,NGO (non-governmental organisation),Not a barrier,Not a barrier,Not a barrier,Not a barrier,Not a barrier,No
q6s7q9,2023-10-08T00:12:35Z,2023-10-08T00:17:15Z,I have written a few lines now and again.,I have none.,I could struggle through by trial and error with a lot of web searches.,In a spreadsheet-based format (e.g MS Excel xlsx or Google Sheets),I use LLMs occasionally for specific tasks when needed (e.g once a week).,Government,Not a barrier,I don't know,Not a barrier,Not a barrier,Not a barrier,Maybe
i7a5i6,2023-10-17T17:30:23Z,2023-10-17T17:33:00Z,I have written a few lines now and again.,I have none.,I could struggle through by trial and error with a lot of web searches.,In a spreadsheet-based format (e.g MS Excel xlsx or Google Sheets),I have not used any LLMs for completing tasks.,Academia,A barrier,Not a barrier,Not a barrier,Not a barrier,Not a barrier,Maybe
n2u0n9,2023-10-26T22:17:49Z,2023-10-26T22:18:22Z,I have written a few lines now and again.,I have written a few lines now and again.,I could do it quickly with external help.,In a spreadsheet-based format (e.g MS Excel xlsx or Google Sheets),I use LLMs occasionally for specific tasks when needed (e.g once a week).,Academia,A barrier,Not a barrier,Not a barrier,Not a barrier,Not a barrier,Maybe
v7x1v6,2023-10-13T15:49:32Z,2023-10-19T12:07:46Z,I have written a few lines now and again.,I have written a few lines now and again.,I could struggle through by trial and error with a lot of web searches.,In a spreadsheet-based format (e.g MS Excel xlsx or Google Sheets),I use LLMs occasionally for specific tasks when needed (e.g once a week).,Independent consultant,Not a barrier,Not a barrier,Not a barrier,Not a barrier,Not a barrier,No
s2f2s4,2023-10-24T16:28:27Z,2023-10-24T16:29:15Z,I have written a few lines now and again.,I have written a few lines now and again.,I could do it quickly with external help.,In a spreadsheet-based format (e.g MS Excel xlsx or Google Sheets),I have not used any LLMs for completing tasks.,Government,Not a barrier,Not a barrier,Not a barrier,Not a barrier,Not a barrier,Maybe
f8c1f2,2023-10-25T02:05:26Z,2023-10-25T02:06:37Z,I have none.,I have written a few lines now and again.,I wouldn’t know where to start.,I don't know,I have not used any LLMs for completing tasks.,Academia,Not a barrier,Not a barrier,A barrier,Not a barrier,Not a barrier,Maybe
r1u7r4,2023-10-25T06:33:21Z,2023-10-25T06:34:57Z,I have written a few lines now and again.,I have written a few lines now and again.,I could struggle through by trial and error with a lot of web searches.,In a spreadsheet-based format (e.g MS Excel xlsx or Google Sheets),I regularly use LLMs for various tasks to improve efficiency (e.g. once a day).,NGO (non-governmental organisation),A barrier,Not a barrier,A barrier,A barrier,Not a barrier,Maybe
f8c1f2,2023-10-05T19:52:47Z,2023-10-05T19:53:48Z,I have none.,I have none.,I wouldn’t know where to start.,In a spreadsheet-based format (e.g MS Excel xlsx or Google Sheets),I have not used any LLMs for completing tasks.,NGO (non-governmental organisation),Not a barrier,Not a barrier,Not a barrier,Not a barrier,Not a barrier,Yes
t1z1t8,2023-10-06T18:33:05Z,2023-10-07T18:44:09Z,I have written programs for my own use that are a couple of pages long.,I have written programs for my own use that are a couple of pages long.,I could do it quickly with external help.,"In machine readible files (e.g. CSV, JSON)",I regularly use LLMs for various tasks to improve efficiency (e.g. once a day).,NGO (non-governmental organisation),Not a barrier,Not a barrier,Not a barrier,Not a barrier,Not a barrier,No
r5s4r9,2023-10-05T16:19:05Z,2023-10-05T16:19:46Z,I have written a few lines now and again.,I have none.,I could struggle through by trial and error with a lot of web searches.,"In machine readible files (e.g. CSV, JSON)",I use LLMs occasionally for specific tasks when needed (e.g once a week).,Independent consultant,Not a barrier,Not a barrier,Not a barrier,Not a barrier,Not a barrier,Yes
a0n1a2,2023-10-14T14:32:18Z,2023-10-14T14:33:40Z,I have none.,I have none.,I wouldn’t know where to start.,In a spreadsheet-based format (e.g MS Excel xlsx or Google Sheets),I use LLMs occasionally for specific tasks when needed (e.g once a week).,Government,Not a barrier,Not a barrier,A barrier,Not a barrier,Not a barrier,Maybe
j2c6j5,2023-10-16T08:26:44Z,2023-10-16T08:27:17Z,I have written a few lines now and again.,I have written a few lines now and again.,I could struggle through by trial and error with a lot of web searches.,In a spreadsheet-based format (e.g MS Excel xlsx or Google Sheets),I have not used any LLMs for completing tasks.,NGO (non-governmental organisation),Not a barrier,Not a barrier,Not a barrier,Not a barrier,Not a barrier,No
m8d4m6,2023-10-17T05:47:27Z,2023-10-17T05:48:26Z,I have written a few lines now and again.,I have written a few lines now and again.,I could struggle through by trial and error with a lot of web searches.,In a spreadsheet-based format (e.g MS Excel xlsx or Google Sheets),I have not used any LLMs for completing tasks.,NGO (non-governmental organisation),Not a barrier,Not a barrier,Not a barrier,Not a barrier,Not a barrier,No
o6x3o9,2023-10-20T19:36:14Z,2023-10-20T19:36:59Z,I have written a few lines now and again.,I have written a few lines now and again.,I could struggle through by trial and error with a lot of web searches.,In physical notebooks on paper,I regularly use LLMs for various tasks to improve efficiency (e.g. once a day).,Academia,A barrier,Not a barrier,Not a barrier,Not a barrier,Not a barrier,No
e6d7e6,2023-10-13T08:58:24Z,2023-10-13T09:02:53Z,I have written a few lines now and again.,I have written a few lines now and again.,I could struggle through by trial and error with a lot of web searches.,In a spreadsheet-based format (e.g MS Excel xlsx or Google Sheets),I use LLMs occasionally for specific tasks when needed (e.g once a week).,Independent consultant,I don't know,Not a barrier,Not a barrier,Not a barrier,Not a barrier,Maybe
k6u0k6,2023-10-14T06:44:52Z,2023-10-14T06:45:28Z,I have none.,I have none.,I could struggle through by trial and error with a lot of web searches.,I don't know,I have not used any LLMs for completing tasks.,Private sector,I don't know,A barrier,Not a barrier,Not a barrier,Not a barrier,No
n7x6n1,2023-10-03T15:18:00Z,2023-10-04T06:52:19Z,I have none.,I have none.,I could struggle through by trial and error with a lot of web searches.,In a spreadsheet-based format (e.g MS Excel xlsx or Google Sheets),I have not used any LLMs for completing tasks.,Academia,I don't know,Not a barrier,Not a barrier,Not a barrier,Not a barrier,No
y0c6y5,2023-10-25T01:27:56Z,NA,I have written programs for my own use that are a couple of pages long.,I have written a few lines now and again.,I could do it quickly with no use of external help.,In a spreadsheet-based format (e.g MS Excel xlsx or Google Sheets),I use LLMs occasionally for specific tasks when needed (e.g once a week).,Private sector,Not a barrier,Not a barrier,Not a barrier,Not a barrier,Not a barrier,Yes
h3d8h0,2023-10-19T11:00:46Z,2023-10-19T11:02:37Z,I have written a few lines now and again.,I have written programs for my own use that are a couple of pages long.,I could do it quickly with external help.,In a spreadsheet-based format (e.g MS Excel xlsx or Google Sheets),I regularly use LLMs for various tasks to improve efficiency (e.g. once a day).,NGO (non-governmental organisation),Not a barrier,Not a barrier,Not a barrier,Not a barrier,Not a barrier,No
p6f9p6,2023-10-13T14:52:25Z,2023-10-13T14:53:03Z,I have written programs for my own use that are a couple of pages long.,I have none.,I could do it quickly with external help.,In a spreadsheet-based format (e.g MS Excel xlsx or Google Sheets),I have not used any LLMs for completing tasks.,Government,Not a barrier,Not a barrier,Not a barrier,Not a barrier,Not a barrier,Maybe
b5j0b6,2023-10-05T11:37:50Z,2023-10-05T11:38:19Z,I have none.,I have none.,I could struggle through by trial and error with a lot of web searches.,In a spreadsheet-based format (e.g MS Excel xlsx or Google Sheets),I use LLMs occasionally for specific tasks when needed (e.g once a week).,Academia,Not a barrier,Not a barrier,Not a barrier,Not a barrier,Not a barrier,No
x5l1x2,2023-10-16T18:04:30Z,2023-10-16T17:59:17Z,I have written a few lines now and again.,I have none.,I could struggle through by trial and error with a lot of web searches.,In a spreadsheet-based format (e.g MS Excel xlsx or Google Sheets),I have not used any LLMs for completing tasks.,Academia,A barrier,A barrier,Not a barrier,Not a barrier,Not a barrier,Yes
g1o4g3,2023-10-19T12:48:11Z,2023-10-19T12:50:03Z,I have none.,I have written a few lines now and again.,I could do it quickly with external help.,In a spreadsheet-based format (e.g MS Excel xlsx or Google Sheets),I use LLMs occasionally for specific tasks when needed (e.g once a week).,NGO (non-governmental organisation),Not a barrier,Not a barrier,Not a barrier,Not a barrier,Not a barrier,Yes
e1o5e9,2023-10-02T18:28:00Z,NA,I have none.,I have none.,I wouldn’t know where to start.,In physical notebooks on paper,I use LLMs occasionally for specific tasks when needed (e.g once a week).,Academia,A barrier,I don't know,Not a barrier,Not a barrier,Not a barrier,No
n2o5n4,2023-10-05T15:19:55Z,2023-10-05T15:20:55Z,I have none.,I have none.,I could struggle through by trial and error with a lot of web searches.,In a spreadsheet-based format (e.g MS Excel xlsx or Google Sheets),I use LLMs occasionally for specific tasks when needed (e.g once a week).,NGO (non-governmental organisation),Not a barrier,Not a barrier,Not a barrier,Not a barrier,Not a barrier,Maybe
m4j0m1,2023-10-10T11:30:14Z,2023-10-10T11:31:47Z,I have written a few lines now and again.,I have none.,I wouldn’t know where to start.,In a relational database (e.g. an SQL Database),I regularly use LLMs for various tasks to improve efficiency (e.g. once a day).,Private sector,A barrier,Not a barrier,A barrier,Not a barrier,Not a barrier,Maybe
u0c3u4,2023-10-06T14:35:59Z,NA,I have written programs for my own use that are a couple of pages long.,I have written a few lines now and again.,I could do it quickly with external help.,"In machine readible files (e.g. CSV, JSON)",I regularly use LLMs for various tasks to improve efficiency (e.g. once a day).,NGO (non-governmental organisation),Not a barrier,Not a barrier,Not a barrier,Not a barrier,Not a barrier,Yes
f4c2f6,2023-10-02T21:02:58Z,2023-10-02T21:04:08Z,I have none.,I have none.,I could struggle through by trial and error with a lot of web searches.,"Doc file, Google sheets",I use LLMs occasionally for specific tasks when needed (e.g once a week).,Academia,Not a barrier,Not a barrier,Not a barrier,Not a barrier,Not a barrier,Maybe
z4u3z1,2023-10-08T07:55:13Z,2023-10-10T07:40:51Z,I have written a few lines now and again.,I have none.,I could do it quickly with external help.,In a spreadsheet-based format (e.g MS Excel xlsx or Google Sheets),I have not used any LLMs for completing tasks.,Private sector,Not a barrier,Not a barrier,Not a barrier,Not a barrier,Not a barrier,Maybe
t0g7t7,2023-10-19T16:26:04Z,2023-10-19T16:26:50Z,I have none.,I have none.,I could struggle through by trial and error with a lot of web searches.,In a spreadsheet-based format (e.g MS Excel xlsx or Google Sheets),I have not used any LLMs for completing tasks.,Government,Not a barrier,I don't know,Not a barrier,Not a barrier,Not a barrier,No
t0f2t2,2023-10-05T16:44:47Z,2023-10-05T16:45:54Z,I have none.,I have none.,I could struggle through by trial and error with a lot of web searches.,In a spreadsheet-based format (e.g MS Excel xlsx or Google Sheets),I have not used any LLMs for completing tasks.,Independent consultant,Not a barrier,Not a barrier,Not a barrier,A barrier,Not a barrier,No
m8w4m1,2023-10-12T09:08:21Z,2023-10-12T09:09:56Z,I have none.,I have written a few lines now and again.,I could struggle through by trial and error with a lot of web searches.,In a spreadsheet-based format (e.g MS Excel xlsx or Google Sheets),I use LLMs occasionally for specific tasks when needed (e.g once a week).,Independent consultant,Not a barrier,Not a barrier,Not a barrier,Not a barrier,Not a barrier,No
v8j8v4,2023-10-23T10:43:50Z,2023-10-23T10:45:03Z,I have written and maintained larger pieces of software.,I have written and maintained larger pieces of software.,I could do it quickly with external help.,In a spreadsheet-based format (e.g MS Excel xlsx or Google Sheets),I use LLMs occasionally for specific tasks when needed (e.g once a week).,NGO (non-governmental organisation),Not a barrier,Not a barrier,Not a barrier,Not a barrier,Not a barrier,No
m7q1m0,2023-10-15T08:47:34Z,2023-10-15T08:53:23Z,I have written a few lines now and again.,I have none.,I could struggle through by trial and error with a lot of web searches.,In a spreadsheet-based format (e.g MS Excel xlsx or Google Sheets),I have not used any LLMs for completing tasks.,Government,A barrier,A barrier,Not a barrier,Not a barrier,Not a barrier,No
z0u6z9,2023-10-03T18:13:24Z,2023-10-24T15:41:21Z,I have written a few lines now and again.,I have none.,I could struggle through by trial and error with a lot of web searches.,In a spreadsheet-based format (e.g MS Excel xlsx or Google Sheets),I have not used any LLMs for completing tasks.,Independent consultant,Not a barrier,Not a barrier,Not a barrier,Not a barrier,Not a barrier,Maybe
j3i2j6,2023-10-09T12:15:01Z,2023-10-09T12:15:43Z,I have written a few lines now and again.,I have written a few lines now and again.,I could struggle through by trial and error with a lot of web searches.,In a spreadsheet-based format (e.g MS Excel xlsx or Google Sheets),I regularly use LLMs for various tasks to improve efficiency (e.g. once a day).,Independent consultant,A barrier,Not a barrier,Not a barrier,Not a barrier,Not a barrier,Maybe
g2o4g9,2023-10-12T20:27:38Z,2023-10-12T20:28:33Z,I have written programs for my own use that are a couple of pages long.,I have none.,I could do it quickly with external help.,In a spreadsheet-based format (e.g MS Excel xlsx or Google Sheets),I regularly use LLMs for various tasks to improve efficiency (e.g. once a day).,NGO (non-governmental organisation),Not a barrier,Not a barrier,Not a barrier,Not a barrier,A barrier,Yes
e5i6e5,2023-10-03T10:03:38Z,NA,I have none.,I have none.,I could do it quickly with external help.,In physical notebooks on paper,I have not used any LLMs for completing tasks.,NGO (non-governmental organisation),I don't know,Not a barrier,Not a barrier,Not a barrier,Not a barrier,Yes
j9g1j0,2023-10-30T10:43:01Z,2023-10-30T10:43:50Z,I have written a few lines now and again.,I have written programs for my own use that are a couple of pages long.,I could struggle through by trial and error with a lot of web searches.,In a spreadsheet-based format (e.g MS Excel xlsx or Google Sheets),I use LLMs occasionally for specific tasks when needed (e.g once a week).,Academia,Not a barrier,Not a barrier,Not a barrier,Not a barrier,Not a barrier,Yes
t0b2t7,2023-10-25T10:47:03Z,2023-10-16T09:22:27Z,I have none.,I have none.,I could struggle through by trial and error with a lot of web searches.,In a spreadsheet-based format (e.g MS Excel xlsx or Google Sheets),I use LLMs occasionally for specific tasks when needed (e.g once a week).,NGO (non-governmental organisation),A barrier,Not a barrier,A barrier,Not a barrier,Not a barrier,No
f8c1f2,2023-10-13T11:54:00Z,2023-10-13T11:55:21Z,I have written a few lines now and again.,I have none.,I could struggle through by trial and error with a lot of web searches.,"In machine readible files (e.g. CSV, JSON)",I have not used any LLMs for completing tasks.,Academia,Not a barrier,Not a barrier,Not a barrier,Not a barrier,Not a barrier,No
y2p2y0,2023-10-04T21:57:42Z,2023-10-04T21:58:13Z,I have written a few lines now and again.,I have none.,I could struggle through by trial and error with a lot of web searches.,In a relational database (e.g. an SQL Database),I have not used any LLMs for completing tasks.,NGO (non-governmental organisation),A barrier,I don't know,Not a barrier,Not a barrier,Not a barrier,Maybe
h7j1h0,2023-10-02T19:59:23Z,2023-10-02T19:59:56Z,I have written and maintained larger pieces of software.,I have none.,I could do it quickly with external help.,In a spreadsheet-based format (e.g MS Excel xlsx or Google Sheets),I have not used any LLMs for completing tasks.,Independent consultant,Not a barrier,Not a barrier,Not a barrier,Not a barrier,Not a barrier,Yes
y4d9y9,2023-10-15T01:41:32Z,2023-10-15T01:42:39Z,I have none.,I have none.,I wouldn’t know where to start.,In a spreadsheet-based format (e.g MS Excel xlsx or Google Sheets),I have not used any LLMs for completing tasks.,NGO (non-governmental organisation),A barrier,I don't know,A barrier,Not a barrier,Not a barrier,No
f0p9f0,2023-10-17T05:30:09Z,2023-10-17T05:31:37Z,I have written a few lines now and again.,I have written a few lines now and again.,I could do it quickly with external help.,In a spreadsheet-based format (e.g MS Excel xlsx or Google Sheets),I use LLMs occasionally for specific tasks when needed (e.g once a week).,NGO (non-governmental organisation),Not a barrier,Not a barrier,Not a barrier,Not a barrier,Not a barrier,Yes
f8c1f2,2023-10-09T06:47:54Z,2023-10-09T06:48:39Z,I have written a few lines now and again.,I have written a few lines now and again.,I wouldn’t know where to start.,In a relational database (e.g. an SQL Database),I have not used any LLMs for completing tasks.,NGO (non-governmental organisation),Not a barrier,Not a barrier,Not a barrier,Not a barrier,Not a barrier,Maybe
j7g2j3,2023-10-06T08:39:24Z,2023-10-06T08:42:10Z,I have written programs for my own use that are a couple of pages long.,I have written programs for my own use that are a couple of pages long.,I could struggle through by trial and error with a lot of web searches.,Stata,I have not used any LLMs for completing tasks.,Academia,Not a barrier,Not a barrier,Not a barrier,Not a barrier,Not a barrier,No
r5k8r3,2023-10-29T18:44:28Z,2023-10-29T18:45:29Z,I have written a few lines now and again.,I have written a few lines now and again.,I could do it quickly with no use of external help.,"In machine readible files (e.g. CSV, JSON)",I have not used any LLMs for completing tasks.,Academia,Not a barrier,I don't know,Not a barrier,Not a barrier,Not a barrier,Yes
m8i0m0,2023-10-06T06:07:50Z,2023-10-06T06:10:06Z,I have written a few lines now and again.,I have written a few lines now and again.,I wouldn’t know where to start.,In a spreadsheet-based format (e.g MS Excel xlsx or Google Sheets),I use LLMs occasionally for specific tasks when needed (e.g once a week).,Academia,Not a barrier,Not a barrier,Not a barrier,Not a barrier,Not a barrier,No
e5q1e6,2023-10-25T08:28:32Z,2023-10-02T18:02:10Z,I have written a few lines now and again.,I have none.,I wouldn’t know where to start.,In a spreadsheet-based format (e.g MS Excel xlsx or Google Sheets),I use LLMs occasionally for specific tasks when needed (e.g once a week).,Academia,Not a barrier,Not a barrier,Not a barrier,Not a barrier,Not a barrier,No
r1a0r1,2023-10-06T13:02:50Z,2023-10-06T13:03:40Z,I have written a few lines now and again.,I have none.,I could struggle through by trial and error with a lot of web searches.,In a spreadsheet-based format (e.g MS Excel xlsx or Google Sheets),I use LLMs occasionally for specific tasks when needed (e.g once a week).,NGO (non-governmental organisation),Not a barrier,I don't know,Not a barrier,Not a barrier,A barrier,Maybe
