date,pageviews,visitors,visit_duration,visits,bounce_rate
2023-09-27,10,2,1017,2,50
2023-09-28,34,3,1354,4,0
2023-09-29,81,7,437,9,56
2023-09-30,0,0,NA,0,0
2023-10-01,5,1,105,1,0
2023-10-02,158,54,183,66,64
2023-10-03,161,65,164,72,75
2023-10-04,126,50,156,56,71
2023-10-05,466,225,171,243,67
2023-10-06,246,96,229,108,61
2023-10-07,99,48,223,54,69
2023-10-08,201,97,232,111,64
2023-10-09,238,107,220,116,59
2023-10-10,203,71,178,79,65
2023-10-11,90,54,106,58,66
2023-10-12,94,40,310,42,62
2023-10-13,152,91,131,98,72
2023-10-14,39,14,476,15,67
2023-10-15,83,23,256,25,56
2023-10-16,112,54,224,60,66
2023-10-17,131,48,175,59,68
2023-10-18,97,24,417,30,60
2023-10-19,61,34,88,38,63
2023-10-20,59,24,122,24,58
2023-10-21,21,15,114,16,75
2023-10-22,3,2,266,2,50
2023-10-23,39,24,61,24,79
2023-10-24,57,33,191,36,74
2023-10-25,156,67,177,73,66
2023-10-26,95,38,114,43,60
2023-10-27,61,30,232,35,66
2023-10-28,19,9,156,11,73
2023-10-29,34,18,163,19,74
2023-10-30,90,37,167,42,71
2023-10-31,1307,238,315,358,29
2023-11-01,315,65,339,78,35
2023-11-02,538,110,276,170,30
2023-11-03,109,32,218,35,37
2023-11-04,110,26,263,33,48
2023-11-05,113,27,243,30,40
2023-11-06,361,70,353,92,27
2023-11-07,1286,162,388,253,15
2023-11-08,279,65,279,70,23
2023-11-09,260,55,317,64,17
2023-11-10,119,38,195,42,19
2023-11-11,97,16,224,24,33
2023-11-12,112,25,254,33,15
2023-11-13,295,45,289,68,21
2023-11-14,956,144,201,233,13
2023-11-15,177,38,150,46,13
2023-11-16,171,34,273,43,30
2023-11-17,118,29,189,35,23
2023-11-18,71,15,121,21,24
2023-11-19,103,15,441,20,15
2023-11-20,335,37,409,59,24
2023-11-21,619,110,248,158,14
2023-11-22,207,62,83,73,19
2023-11-23,204,36,343,41,22
2023-11-24,94,24,102,29,21
2023-11-25,89,11,420,14,14
2023-11-26,50,8,710,13,15
2023-11-27,246,35,375,52,27
2023-11-28,654,93,272,134,18
2023-11-29,88,29,130,30,30
2023-11-30,137,23,106,32,23
2023-12-01,75,19,365,20,21
2023-12-02,110,14,509,16,12
2023-12-03,49,13,120,21,38
2023-12-04,186,27,155,35,29
2023-12-05,440,69,260,94,16
2023-12-06,198,27,261,36,17
2023-12-07,75,18,53,19,11
2023-12-08,72,17,336,19,26
2023-12-09,40,7,134,7,14
2023-12-10,23,6,347,6,0
2023-12-11,142,22,313,28,43
2023-12-12,619,73,295,101,8
2023-12-13,51,17,83,20,25
2023-12-14,50,12,79,12,42
2023-12-15,47,9,86,11,27
2023-12-16,22,5,518,5,20
2023-12-17,21,5,13,7,29
2023-12-18,121,22,241,27,26
2023-12-19,33,12,56,15,47
2023-12-20,31,9,100,11,45
2023-12-21,82,25,80,29,34
2023-12-22,28,5,393,5,0
2023-12-23,1,1,0,1,100
2023-12-24,22,3,879,3,33
2023-12-25,6,2,558,2,0
2023-12-26,6,3,279,3,0
2023-12-27,60,7,206,8,0
2023-12-28,16,5,8,5,0
2023-12-29,51,9,66,11,45
2023-12-30,84,9,261,12,25
2023-12-31,150,6,1019,14,14
2024-01-01,46,6,857,6,0
2024-01-02,4,3,0,3,67
2024-01-03,25,3,719,3,33
2024-01-04,91,14,507,19,26
2024-01-05,39,5,100,5,20
2024-01-06,42,5,30,7,43
2024-01-07,111,10,302,15,20
2024-01-08,65,12,210,12,33
2024-01-09,63,11,108,15,47
2024-01-10,47,7,51,8,12
2024-01-11,27,5,56,5,40
2024-01-12,21,5,24,5,40
2024-01-13,50,5,394,7,0
2024-01-14,42,7,176,8,38
2024-01-15,180,17,375,26,23
2024-01-16,639,80,407,131,26
2024-01-17,140,16,298,22,41
2024-01-18,94,15,572,24,42
2024-01-19,81,14,180,21,24
2024-01-20,34,10,258,12,33
2024-01-21,51,4,569,7,29
2024-01-22,119,16,171,26,42
2024-01-23,193,32,269,42,38
2024-01-24,46,13,174,14,50
2024-01-25,80,13,98,18,28
2024-01-26,74,10,342,14,21
2024-01-27,87,12,417,15,33
2024-01-28,78,7,614,10,30
2024-01-29,34,8,61,10,40
2024-01-30,83,12,288,14,36
2024-01-31,75,10,300,11,27
2024-02-01,61,12,87,14,14
2024-02-02,184,10,725,13,31
2024-02-03,62,9,245,14,43
2024-02-04,37,5,55,12,42
2024-02-05,44,9,429,9,56
2024-02-06,87,15,144,20,35
2024-02-07,27,8,42,11,45
2024-02-08,84,8,615,10,50
2024-02-09,103,22,152,32,31
2024-02-10,70,9,574,17,24
2024-02-11,93,13,293,23,26
2024-02-12,140,23,301,34,26
2024-02-13,241,20,461,32,14
2024-02-14,86,12,393,14,43
2024-02-15,45,13,15,17,71
2024-02-16,89,8,398,17,35
2024-02-17,56,6,180,8,25
2024-02-18,7,2,23,3,33
2024-02-19,76,12,134,14,29
2024-02-20,100,12,207,19,32
2024-02-21,78,14,298,18,39
2024-02-22,53,9,401,10,30
2024-02-23,21,6,16,6,0
2024-02-24,11,5,4,8,62
2024-02-25,72,3,804,8,25
2024-02-26,19,7,3,10,60
2024-02-27,9,5,43,5,60
2024-02-28,30,2,604,2,0
2024-02-29,18,4,126,4,25
2024-03-01,11,5,261,6,67
2024-03-02,21,2,1131,3,0
2024-03-03,28,3,465,7,29
2024-03-04,56,7,223,10,30
2024-03-05,57,8,242,12,25
2024-03-06,11,5,4,5,40
2024-03-07,23,9,98,11,45
2024-03-08,11,2,76,2,50
2024-03-09,29,2,254,2,50
2024-03-10,7,3,5,4,0
2024-03-11,19,7,171,7,14
2024-03-12,22,7,223,8,38
2024-03-13,6,3,19,3,0
2024-03-14,96,4,213,5,60
2024-03-15,8,4,118,4,25
2024-03-16,1,1,0,1,100
2024-03-17,0,0,NA,0,0
2024-03-18,38,7,193,9,22
2024-03-19,3,2,1,2,50
2024-03-20,7,4,2,4,25
2024-03-21,18,4,9,6,33
2024-03-22,6,4,1,4,50
2024-03-23,1,1,0,1,100
2024-03-24,0,0,NA,0,0
2024-03-25,11,6,3,6,50
2024-03-26,32,4,21,5,60
2024-03-27,13,5,2,6,50
2024-03-28,29,4,259,5,20
2024-03-29,15,2,38,2,0
2024-03-30,4,2,688,2,0
2024-03-31,9,5,0,6,50
2024-04-01,3,3,0,3,100
2024-04-02,3,2,0,2,50
2024-04-03,2,1,3,1,0
2024-04-04,366,34,325,44,50
2024-04-05,19,9,136,11,55
2024-04-06,5,5,0,5,100
2024-04-07,21,5,53,5,40
2024-04-08,23,10,131,11,73
2024-04-09,41,9,439,10,30
2024-04-10,26,6,116,10,30
2024-04-11,10,7,2,7,57
2024-04-12,4,2,4,2,0
2024-04-13,3,2,0,2,50
2024-04-14,13,6,22,6,50
2024-04-15,69,5,243,8,12
2024-04-16,20,2,445,3,0
2024-04-17,12,5,10,5,60
2024-04-18,23,3,292,4,50
2024-04-19,2,1,4,1,0
2024-04-20,0,0,NA,0,0
2024-04-21,20,2,440,3,33
2024-04-22,6,3,12,4,75
2024-04-23,13,5,455,5,60
2024-04-24,16,4,30,4,25
2024-04-25,5,3,17,3,67
2024-04-26,1,1,0,1,100
2024-04-27,0,0,NA,0,0
2024-04-28,1,1,0,1,100
2024-04-29,10,3,32,3,33
2024-04-30,7,2,26,2,0
2024-05-01,3,1,2033,1,0
2024-05-02,2,1,5,1,0
2024-05-03,1,1,0,1,100
2024-05-04,2,1,6,1,0
2024-05-05,0,0,NA,0,0
2024-05-06,2,2,0,2,100
2024-05-07,0,0,NA,0,0
2024-05-08,2,1,2,1,0
2024-05-09,5,2,4,2,0
2024-05-10,0,0,NA,0,0
2024-05-11,0,0,NA,0,0
2024-05-12,3,2,0,3,100
2024-05-13,1,1,0,1,100
2024-05-14,2,2,0,2,100
2024-05-15,2,1,0,1,0
2024-05-16,4,3,5,3,67
2024-05-17,4,2,62,2,0
2024-05-18,3,1,133,1,0
2024-05-19,8,2,43,2,0
2024-05-20,7,4,250,4,75
2024-05-21,69,13,215,15,33
2024-05-22,18,2,341,4,0
2024-05-23,7,3,139,3,67
2024-05-24,0,0,NA,0,0
2024-05-25,4,4,0,4,100
2024-05-26,0,0,NA,0,0
2024-05-27,7,4,1,5,60
2024-05-28,2,2,0,2,100
2024-05-29,2,1,4,1,0
2024-05-30,2,1,16,1,0
2024-05-31,8,2,2,3,33
2024-06-01,2,1,15,1,0
2024-06-02,0,0,NA,0,0
2024-06-03,11,3,3,3,33
2024-06-04,0,0,NA,0,0
2024-06-05,11,2,68,2,0
2024-06-06,5,2,36,2,50
2024-06-07,11,3,423,3,33
2024-06-08,1,1,0,1,100
2024-06-09,1,1,0,1,100
2024-06-10,6,2,67,2,0
2024-06-11,3,3,0,3,100
2024-06-12,1,1,0,1,100
2024-06-13,2,2,0,2,100
2024-06-14,0,0,NA,0,0
2024-06-15,5,2,24,2,0
2024-06-16,0,0,NA,0,0
2024-06-17,5,3,15,3,67
2024-06-18,26,4,804,6,0
2024-06-19,8,3,22,5,60
2024-06-20,132,13,379,19,37
2024-06-21,48,10,209,11,55
2024-06-22,2,2,0,2,100
2024-06-23,0,0,NA,0,0
2024-06-24,9,3,38,3,33
2024-06-25,13,4,70,4,25
2024-06-26,6,5,0,5,80
2024-06-27,90,25,166,26,62
2024-06-28,12,9,0,12,100
2024-06-29,6,4,2,4,50
2024-06-30,9,2,160,2,0
2024-07-01,17,7,40,7,43
2024-07-02,44,8,356,8,25
2024-07-03,11,4,4,4,50
2024-07-04,6,4,24,5,80
2024-07-05,2,1,12,1,0
2024-07-06,3,2,0,2,50
2024-07-07,2,1,1,1,0
2024-07-08,11,5,190,6,50
2024-07-09,9,8,0,8,88
2024-07-10,243,14,556,15,40
2024-07-11,32,17,221,17,65
2024-07-12,4,2,35,2,0
2024-07-13,18,6,143,6,33
2024-07-14,3,1,3,1,0
2024-07-15,8,3,348,4,25
2024-07-16,6,3,14,3,33
2024-07-17,2,1,0,1,0
2024-07-18,0,0,NA,0,0
2024-07-19,1,1,0,1,100
2024-07-20,0,0,NA,0,0
2024-07-21,5,2,298,2,50
2024-07-22,1,1,0,1,100
2024-07-23,12,3,41,3,33
2024-07-24,3,2,14,2,50
2024-07-25,1,1,0,1,100
2024-07-26,7,3,620,3,33
2024-07-27,19,3,193,3,0
2024-07-28,2,2,0,2,100
2024-07-29,12,3,45,4,25
2024-07-30,9,4,0,6,50
2024-07-31,38,2,270,4,25
2024-08-01,3,1,11,2,50
2024-08-02,0,0,NA,0,0
2024-08-03,0,0,NA,0,0
2024-08-04,0,0,NA,0,0
2024-08-05,15,3,336,4,0
2024-08-06,16,3,620,4,25
2024-08-07,7,3,5,3,67
2024-08-08,1,1,0,1,100
2024-08-09,0,0,NA,0,0
2024-08-10,0,0,NA,0,0
2024-08-11,4,3,5,3,67
2024-08-12,26,3,358,7,14
2024-08-13,2,2,0,2,100
2024-08-14,18,5,145,5,60
2024-08-15,4,2,716,2,50
2024-08-16,9,3,168,3,33
2024-08-17,0,0,NA,0,0
2024-08-18,1,1,0,1,100
2024-08-19,3,2,336,2,50
2024-08-20,5,3,1,3,33
2024-08-21,0,0,NA,0,0
2024-08-22,4,2,56,2,50
2024-08-23,2,1,0,1,0
2024-08-24,2,1,9,1,0
2024-08-25,2,1,0,1,0
2024-08-26,5,5,0,5,100
2024-08-27,9,3,2,5,40
2024-08-28,6,5,0,6,100
2024-08-29,27,16,53,17,65
2024-08-30,9,4,27,5,80
2024-08-31,8,3,23,3,0
2024-09-01,0,0,NA,0,0
2024-09-02,7,3,12,3,33
2024-09-03,3,1,313,1,0
2024-09-04,5,3,11,3,67
2024-09-05,3,2,0,2,50
2024-09-06,14,9,14,9,56
2024-09-07,2,1,2,1,0
2024-09-08,0,0,NA,0,0
2024-09-09,1,1,0,1,100
2024-09-10,3,1,173,1,0
2024-09-11,1,1,0,1,100
2024-09-12,60,7,274,12,25
2024-09-13,8,2,1,3,33
2024-09-14,3,1,0,1,0
2024-09-15,0,0,NA,0,0
2024-09-16,2,2,0,2,100
2024-09-17,12,5,14,5,40
2024-09-18,1,1,0,1,100
2024-09-19,1,1,0,1,100
2024-09-20,8,1,92,1,0
2024-09-21,1,1,0,1,100
2024-09-22,0,0,NA,0,0
2024-09-23,23,4,105,4,75
2024-09-24,2,2,0,2,100
2024-09-25,12,4,30,4,50
2024-09-26,0,0,NA,0,0
2024-09-27,0,0,NA,0,0
2024-09-28,0,0,NA,0,0
2024-09-29,1,1,0,1,100
2024-09-30,10,5,6,5,60
2024-10-01,29,4,10,5,20
2024-10-02,0,0,NA,0,0
2024-10-03,0,0,NA,0,0
2024-10-04,2,2,0,2,100
2024-10-05,2,1,21,1,0
2024-10-06,1,1,0,1,100
2024-10-07,17,4,7,5,40
2024-10-08,9,4,2,4,25
2024-10-09,3,1,0,1,0
2024-10-10,8,4,10,4,50
2024-10-11,0,0,NA,0,0
2024-10-12,2,2,0,2,100
2024-10-13,0,0,NA,0,0
2024-10-14,0,0,NA,0,0
2024-10-15,0,0,NA,0,0
2024-10-16,8,2,109,2,0
2024-10-17,4,2,1,2,50
2024-10-18,0,0,NA,0,0
2024-10-19,0,0,NA,0,0
2024-10-20,0,0,NA,0,0
2024-10-21,4,2,4,2,50
2024-10-22,1,1,0,1,100
2024-10-23,3,2,6,2,50
2024-10-24,3,2,702,2,50
2024-10-25,2,2,0,2,100
2024-10-26,0,0,NA,0,0
2024-10-27,2,1,0,2,100
2024-10-28,1,1,0,1,100
2024-10-29,17,1,191,1,0
2024-10-30,0,0,NA,0,0
2024-10-31,32,2,258,2,0
2024-11-01,5,2,300,3,67
2024-11-02,1,1,0,1,100
2024-11-03,0,0,NA,0,0
2024-11-04,1,1,0,1,100
2024-11-05,11,2,39,3,0
2024-11-06,0,0,NA,0,0
2024-11-07,0,0,NA,0,0
2024-11-08,3,1,2,1,0
2024-11-09,0,0,NA,0,0
2024-11-10,0,0,NA,0,0
2024-11-11,0,0,NA,0,0
2024-11-12,0,0,NA,0,0
2024-11-13,1,1,0,1,100
2024-11-14,6,1,118,1,0
2024-11-15,1,1,0,1,100
2024-11-16,4,2,0,2,50
2024-11-17,0,0,NA,0,0
2024-11-18,1,1,0,1,100
2024-11-19,10,4,67,4,25
2024-11-20,39,4,158,5,20
2024-11-21,38,8,305,9,22
2024-11-22,10,3,39,3,33
2024-11-23,32,3,296,7,14
2024-11-24,4,2,0,2,50
2024-11-25,8,4,24,4,75
2024-11-26,1,1,0,1,100
2024-11-27,58,3,191,9,22
2024-11-28,17,6,137,6,0
2024-11-29,8,5,0,6,83
2024-11-30,0,0,NA,0,0
2024-12-01,0,0,NA,0,0
2024-12-02,0,0,NA,0,0
2024-12-03,28,1,346,1,0
2024-12-04,6,3,2,3,33
2024-12-05,0,0,NA,0,0
2024-12-06,1,1,0,1,100
2024-12-07,1,1,0,1,100
2024-12-08,0,0,NA,0,0
2024-12-09,1,1,0,1,100
2024-12-10,5,2,1,2,0
2024-12-11,4,1,58,1,0
2024-12-12,6,2,4,4,50
2024-12-13,16,2,590,3,0
2024-12-14,0,0,NA,0,0
2024-12-15,0,0,NA,0,0
2024-12-16,3,1,16,2,50
2024-12-17,6,3,7,3,0
2024-12-18,0,0,NA,0,0
2024-12-19,2,1,0,1,0
2024-12-20,0,0,NA,0,0
2024-12-21,0,0,NA,0,0
2024-12-22,4,2,2,2,0
2024-12-23,0,0,NA,0,0
2024-12-24,4,1,2,2,0
2024-12-25,1,1,0,1,100
2024-12-26,0,0,NA,0,0
2024-12-27,2,1,3,1,0
2024-12-28,6,2,480,2,50
2024-12-29,0,0,NA,0,0
2024-12-30,0,0,NA,0,0
2024-12-31,0,0,NA,0,0
2025-01-01,0,0,NA,0,0
2025-01-02,0,0,NA,0,0
2025-01-03,3,1,254,1,0
2025-01-04,3,1,12,1,0
2025-01-05,5,2,88,2,0
2025-01-06,0,0,NA,0,0
